티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
060570,드림어스컴퍼니,566302,566302,0,1654912620,1654912620,0
192650,드림텍,7147304,7147304,0,71615278620,71615278620,0
217620,디딤이앤에프,4689505,4689505,0,5395307785,5395307785,0
016670,디모아,24510709,24510709,0,13998173310,13998173310,0
187870,디바이스이엔지,135154,135154,0,1979823900,1979823900,0
066670,디스플레이텍,1162339,1162339,0,5645725590,5645725590,0
024090,디씨엠,482596,482596,0,7035131750,7035131750,0
003160,디아이,5983216,5983216,0,32839029565,32839029565,0
092200,디아이씨,2580022,2580022,0,9775507705,9775507705,0
110990,디아이티,968208,968208,0,5714920750,5714920750,0
263690,디알젬,292242,292242,0,3123410550,3123410550,0
214680,디알텍,3750453,3750453,0,5310541840,5310541840,0
377190,디앤디플랫폼리츠,1698948,1698948,0,5849283030,5849283030,0
263720,디앤씨미디어,16762389,16762389,0,365069334800,365069334800,0
376300,디어유,3760731,3760731,0,121687858600,121687858600,0
109740,디에스케이,469739,469739,0,2454065890,2454065890,0
196490,디에이테크놀로지,8319718,8319718,0,32128277785,32128277785,0
066900,디에이피,265827,265827,0,763511160,763511160,0
127120,디엔에이링크,3996536,3996536,0,17280971855,17280971855,0
092070,디엔에프,1703642,1703642,0,24050639600,24050639600,0
039840,디오,1494216,1494216,0,28757938200,28757938200,0
013570,디와이,1991783,1991783,0,11622335580,11622335580,0
219550,디와이디,32035610,32035610,0,41736219483,41736219483,0
310870,디와이씨,1224622,1224622,0,2114541385,2114541385,0
210540,디와이파워,2755806,2755806,0,34613561850,34613561850,0
104460,디와이피엔에프,593443,593443,0,24117378150,24117378150,0
079810,디이엔티,7740670,7740670,0,78090714490,78090714490,0
113810,디젠스,25179361,25179361,0,28328773576,28328773576,0
043360,디지아이,628763,628763,0,2006495930,2006495930,0
197140,디지캡,5167420,5167420,0,23034728220,23034728220,0
068930,디지털대성,760371,760371,0,5364253670,5364253670,0
033130,디지틀조선,63057729,63057729,0,174567580445,174567580445,0
