티커,BPS,PER,PBR,EPS,DIV,DPS
004980,16402,0.0,0.58,0,2.09,200
004985,0,0.0,0.0,0,2.01,250
011300,458,0.0,5.62,0,0.0,0
000180,9349,0.0,0.21,0,0.0,0
002420,5022,0.0,1.43,0,0.0,0
004360,54430,2.39,0.21,4819,2.61,300
004365,0,0.0,0.0,0,4.6,305
004490,91306,15.15,0.53,3222,1.23,600
001430,52580,8.85,0.43,2572,5.27,1200
306200,296062,2.45,0.47,56889,4.31,6000
003030,372105,2.73,0.5,68897,1.2,2250
019440,40593,6.8,0.37,2185,6.73,1000
058650,530930,3.35,0.2,31597,3.77,4000
013000,1597,24.25,0.8,53,0.0,0
091090,3875,0.0,0.33,0,0.0,0
021820,45187,0.0,0.16,0,0.35,25
067830,12290,10.7,0.21,243,1.15,30
033530,14878,108.13,0.47,64,1.45,100
075580,2993,28.96,2.05,212,2.44,150
027970,1760,33.59,0.74,39,0.0,0
068270,28937,38.28,4.96,3751,0.26,375
336370,15536,0.0,2.21,0,0.29,100
33637K,0,0.0,0.0,0,1.4,101
33637L,0,0.0,0.0,0,1.08,100
248070,5958,31.34,5.02,954,0.0,0
004430,28443,3.1,0.6,5497,2.94,500
126720,32090,5.64,0.62,3544,3.0,600
017550,2566,8.15,0.93,292,0.42,10
053210,17321,13.66,0.37,470,5.45,350
026890,6347,15.98,1.08,428,2.92,200
134790,37778,21.9,0.88,1516,1.2,400
016590,15417,4.18,0.36,1319,2.26,125
029530,109950,6.62,0.3,5007,4.52,1500
004970,35416,9.78,0.25,899,5.69,500
011930,1036,15.8,2.56,168,0.0,0
005390,2389,3.35,0.75,533,0.0,0
004170,418209,4.93,0.49,41282,1.84,3750
035510,27495,2.07,0.48,6381,3.78,500
034300,70930,0.0,0.21,0,3.41,500
031430,23264,5.18,0.74,3313,2.92,500
031440,75425,0.0,0.52,0,1.92,750
006880,8832,58.2,0.92,139,1.48,120
005800,40302,3.66,0.24,2611,1.57,150
001720,177863,5.18,0.31,10783,7.16,4000
